Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
1991,3,2,7.3,14,1,-,-,65,0,10.5,3.3,9.4,-,0,0,0,0,0,0
1991,3,3,10.1,17.8,6,-,-,68,0,10.3,2.6,11.1,-,0,1,0,0,0,0
1991,3,4,11.1,16.4,4,-,-,62,0,10.8,6.3,18.3,-,0,0,0,0,0,0
1991,3,5,10.2,13.2,8,-,-,74,2.03,10,16.5,37,-,0,1,0,0,0,0
1991,3,6,9.5,12.6,7,-,-,63,4.32,11.1,29.3,40.7,66.5,0,1,0,0,0,0
1991,3,7,7.9,12.7,6,-,-,74,10.92,10.6,25.9,51.9,70.6,0,1,0,0,0,0
1991,3,8,7.3,11,4,-,-,78,0,10.9,19.8,40.7,59.4,0,1,0,0,0,0
1991,3,9,8.5,11.2,6,-,-,84,3.05,10.1,16.9,25.9,-,0,1,0,0,0,0
1991,3,10,11.8,17.2,8,-,-,69,0,11.9,13,25.9,-,0,1,0,0,0,0
1991,3,11,9.4,17.5,3,-,-,75,0,10.1,2.4,9.4,-,0,0,0,0,0,0
1991,3,12,8.8,14.5,5,-,-,84,3.05,7.1,4.1,25.9,-,0,1,0,0,0,0
1991,3,13,9.4,10.6,8,1005.4,937.6,83,3.05,10.6,7,20.6,-,0,1,0,0,0,0
1991,3,14,12.1,17,7,-,-,60,5.08,11.1,9.3,22.2,-,0,0,0,0,0,0
1991,3,15,11.6,15,6,-,-,69,0,8.2,2.8,11.1,-,0,1,0,0,0,0
1991,3,16,11.2,14,9,-,-,70,1.02,10.1,18,38.9,-,0,1,0,0,0,0
1991,3,17,9.5,15.5,6,-,-,67,0.51,10.8,17,38.9,-,0,1,0,1,0,0
1991,3,18,9.2,17,2,-,-,67,0,10.6,1.7,9.4,-,0,0,0,0,0,0
1991,3,19,12.4,21,4.8,-,-,65,0,10.8,3.7,14.8,-,0,0,0,0,0,0
1991,3,20,13.2,22.4,4.5,-,-,63,0,10.3,2.8,14.8,-,0,0,0,0,0,0
1991,3,21,12.4,17.5,8,-,-,57,0,10.9,18,48.2,57.6,0,0,0,0,0,0
1991,3,22,7.6,12,4,-,-,65,0,11.1,8.3,18.3,-,0,0,0,0,0,0
1991,3,23,7,12.3,2.6,-,-,55,0,11.3,24.6,40.7,59.4,0,0,0,0,0,0
1991,3,24,6.4,10,4,-,-,52,0,11.9,35.7,55.4,74.1,0,0,0,0,0,0
1991,3,25,8.8,12,6,-,-,59,0,11.1,15.9,24.1,40.7,0,1,0,0,0,0
1991,3,26,8.3,11.2,7,1009.5,941.3,80,0,9.5,1.5,11.1,-,0,1,0,0,0,0
1991,3,27,9.7,15.4,6,-,-,69,3.05,9.5,2.4,7.6,-,0,1,0,0,0,0
1991,3,28,11,17.2,5,-,-,59,0,10.8,3.3,11.1,-,0,0,0,0,0,0
1991,3,29,12.2,18.2,7,-,-,58,0,10.9,6.5,18.3,-,0,0,0,0,0,0
1991,3,30,11.6,16,8,-,-,61,0,11.3,7,14.8,-,0,1,0,0,0,0
1991,3,31,11.1,16,5,-,-,54,99.06,10.9,6.1,18.3,-,0,0,0,0,0,0
1991,4,1,10.5,17.6,3,-,-,50,0,10.3,2.8,11.1,-,0,0,0,0,0,0
1991,4,2,10.9,20,2,-,-,53,0,9,8.9,25.9,-,0,0,0,0,0,0
1991,4,3,11.3,16.3,7,-,-,52,0,11.3,13.7,33.5,-,0,1,0,0,0,0
1991,4,4,7.4,13,1,-,-,66,0,11.1,22,55.4,-,0,1,0,0,0,0
1991,4,5,8.9,14.2,5,-,-,48,3.05,11.4,31.7,44.6,59.4,0,0,0,0,0,0
1991,4,6,9.2,16,1,-,-,51,0,10.3,5.4,16.5,-,0,0,0,0,0,0
1991,4,7,10.8,20.2,2,-,-,57,0,10,3.1,11.1,-,0,0,0,0,0,0
1991,4,8,13.9,21,7,-,-,55,0,10.1,4.1,14.8,-,0,0,0,0,0,0
1991,4,9,13.5,22.4,5,1023,954.9,57,0,11.1,3.9,11.1,-,0,0,0,0,0,0
1991,4,10,13.7,23.5,5,-,-,51,0,10.3,3.1,11.1,-,0,0,0,0,0,0
1991,4,11,14.7,24,7,-,-,51,0,10.8,4.3,11.1,-,0,0,0,0,0,0
1991,4,12,13.4,22,5,-,-,51,0,10.9,8.3,25.9,-,0,1,0,0,1,0
1991,4,13,8,12.2,5,-,-,67,1.02,11.1,8,22.2,-,0,1,0,0,1,0
1991,4,14,8.8,15,4,-,-,78,2.03,10.9,14.4,33.5,-,0,1,0,0,0,0
1991,4,15,9.7,11.8,7.9,-,-,90,23.88,8.2,6.5,24.1,-,0,1,0,0,0,0
1991,4,16,12,17,8,-,-,65,0,8.9,3.9,18.3,-,1,0,0,0,0,0
1991,4,17,10.7,18,4,-,-,67,0,9.5,5.2,20.6,-,1,0,0,0,0,0
1991,4,18,9.9,16,5,-,-,49,0,10.8,10.7,25.9,-,0,0,0,0,0,0
1991,4,19,10.6,20,1,-,-,45,0,11.4,9.6,29.4,-,0,0,0,0,0,0
1991,4,20,7.9,14.6,1.8,-,-,49,0,10.8,13.7,25.9,-,0,0,0,0,0,0
1991,4,21,7.2,13.4,1,-,-,49,0,10.1,15.7,29.4,-,0,0,0,0,0,0
1991,4,22,8.9,18,1,-,-,52,0,10.8,3.9,14.8,-,0,0,0,0,0,0
1991,4,23,10.6,19.3,3,-,-,50,0,10.8,6.3,14.8,-,0,0,0,0,0,0
1991,4,24,9.8,17.6,2,-,-,53,0,10.8,14.3,40.7,55.4,0,0,0,0,0,0
1991,4,25,9.8,14.4,4.4,-,-,47,0,11.1,23.7,44.3,48.2,0,1,0,0,0,0
1991,4,26,8.6,15,4,-,-,47,0,12.1,15.9,48.2,-,0,1,0,0,0,0
1991,4,27,8.2,15,-1,-,-,54,0,10.8,8,22.2,-,0,0,0,0,0,0
1991,4,28,11.7,19,4,-,-,54,0,11.3,5.7,20.6,-,0,0,0,0,0,0
1991,4,29,12.6,21.8,3,-,-,51,0,9.8,3.3,11.1,-,0,0,0,0,0,0
1991,4,30,15.6,23.8,6,-,-,51,0,10.9,9.8,25.9,29.4,0,0,0,0,0,0
1991,5,1,12.1,17.4,5,-,946,53,0,10.8,19.6,46.5,77.8,0,1,0,1,0,0
1991,5,2,8.1,13.2,5,-,947.2,54,0,11.1,34.4,55.4,74.1,0,0,0,0,0,0
1991,5,3,8.9,14.8,4,-,948.3,48,0,10.9,28.5,38.9,-,0,0,0,0,0,0
1991,5,4,8.2,16.5,-1,-,947.9,52,0,10.6,10,25.9,-,0,0,0,0,0,0
1991,5,5,9.9,16,4,-,945.7,55,0,11.3,13.1,37,40.7,0,0,0,0,0,0
1991,5,6,8.1,15.8,0,-,949.8,51,0,10.5,9.3,25.9,-,0,0,0,0,0,0
1991,5,7,10.3,20.4,0,-,945.8,50,0,10.9,6.1,22.2,-,0,0,0,0,0,0
1991,5,8,10.3,14.4,6,-,941.4,49,0,11.4,18.3,37,51.9,0,0,0,0,0,0
1991,5,9,9.1,15,2.6,-,945.7,52,0,11.1,20.7,35.2,-,0,0,0,0,0,0
1991,5,10,9.9,17.2,5,-,948.1,60,0,11.1,5.6,22.2,-,0,1,0,0,0,0
1991,5,11,9.6,17.4,2.6,-,952.3,52,0,11.7,12,25.9,-,0,0,0,0,0,0
1991,5,12,12.9,21.6,3,-,955.7,48,0,11.1,16.9,31.7,-,0,0,0,0,0,0
1991,5,13,15.6,22.8,10,-,955.9,51,0,11.3,17.4,29.4,-,0,0,0,0,0,0
1991,5,14,15.1,24.7,4,-,955,47,0,10.3,6.3,14.8,-,0,0,0,0,0,0
1991,5,15,17.2,27.9,7,-,952.5,44,0,10.3,8.3,29.4,-,0,0,0,0,0,0
1991,5,16,15.6,26,7,-,953.4,43,0,10.1,14.3,27.8,37,0,0,0,0,0,0
1991,5,17,15,23.5,6.8,-,953.9,48,0,10.8,15,31.7,37,0,0,0,0,0,0
1991,5,18,14.8,22.4,8,-,953.7,50,0,10.6,14.6,24.1,-,0,0,0,0,0,0
1991,5,19,14.7,24,4,-,953.9,45,0,10,11.5,29.4,-,0,0,0,0,0,0
1991,5,20,15.6,25.2,7,-,955.1,46,0,10.3,9.6,22.2,-,0,0,0,0,0,0
1991,5,21,17.6,25.4,8,-,960.2,46,0,10.5,5.7,24.1,-,0,0,0,0,0,0
1991,5,22,18.1,28,7,-,962.2,39,0,10.1,3.5,11.1,-,0,0,0,0,0,0
1991,5,23,19.4,30.2,7,-,955.4,38,0,10.6,6.3,24.1,-,0,0,0,0,0,0
1991,5,24,22,30,14,-,949.6,37,0,10.5,13.3,25.9,-,0,0,0,0,0,0
1991,5,25,20.7,29.5,11,-,951.3,39,0,10.3,9.1,18.3,-,0,0,0,0,0,0
1991,5,26,20.7,29.8,11,-,952.8,41,0,10.5,5.6,18.3,-,0,0,0,0,0,0
1991,5,27,20.1,29,11,-,951.1,37,0,10,7,25.9,-,0,0,0,0,0,0
1991,5,28,19.1,29,9,-,948.1,39,0,10.9,8.1,18.3,-,0,0,0,0,0,0
1991,5,29,20.4,30,11,-,945.6,46,0,11.1,7.4,46.5,64.8,0,1,0,0,1,0
1991,5,30,18.8,24.6,14,-,945.5,56,2.03,10.9,13.5,29.4,-,0,0,0,0,0,0
1991,5,31,15.7,22.8,11.8,-,946.6,63,0,10.9,9.1,25.9,-,0,0,0,0,0,0
1991,6,1,16.3,23.4,13,-,946.6,62,0,11.4,8.1,22.2,-,0,0,0,0,0,0
1991,6,2,17.5,25,12,-,947.4,57,0,11.1,4.8,29.4,-,0,0,0,0,1,0
1991,6,3,18.3,26.5,10,-,948.7,55,0,10.9,6.7,27.8,42.4,0,1,0,0,1,0
1991,6,4,20.8,27.5,14,-,947.8,42,0,10.3,17.6,37,-,0,1,0,0,0,0
1991,6,5,20.3,27.5,12,-,948.2,41,0,9.8,17.6,29.4,-,0,0,0,0,0,0
1991,6,6,21.1,27,17,-,948.6,53,0,11.4,19.8,33.5,-,0,0,0,0,0,0
1991,6,7,18.6,23.4,15,-,944.6,57,0,11.1,35.4,44.6,64.8,0,0,0,0,0,0
1991,6,8,19.4,28,9,-,949.2,45,0,10.3,7.2,25.9,-,0,0,0,0,0,0
1991,6,9,22.6,32.7,11.8,-,949.2,41,0,10.9,7.4,18.3,-,0,0,0,0,0,0
1991,6,10,21.7,27.2,15,-,950.2,46,0,11.7,11.3,33.5,-,0,0,0,0,0,0
1991,6,11,20.7,30,12,-,954,44,0,11.1,6.3,14.8,-,0,0,0,0,0,0
1991,6,12,23.4,33,13,-,951.7,39,0,11.1,7.4,18.3,-,0,0,0,0,0,0
1991,6,13,25.4,35.2,14,-,947.8,39,0,10.6,8.5,24.1,-,0,0,0,0,0,0
1991,6,14,26.7,35.5,17,-,947.3,42,0,10.5,4.6,16.5,-,0,0,0,0,0,0
1991,6,15,25.9,36,18,-,945.7,45,0,10.5,10.4,55.4,74.1,0,1,0,0,1,0
1991,6,16,23.3,32,13,-,944.3,48,2.03,10.9,17.2,37,44.6,0,1,0,0,1,0
1991,6,17,17.2,26,10,-,949.7,41,0,10.3,16.3,29.4,-,0,0,0,0,0,0
1991,6,18,17.7,26,10,-,951.2,41,0,10.8,15.6,29.4,-,0,0,0,0,0,0
1991,6,19,19.3,27,10,-,951.4,42,0,10.9,9.1,22.2,-,0,0,0,0,0,0
1991,6,20,24.3,31.4,18,-,948.5,40,0,11.4,10.4,25.9,-,0,0,0,0,0,0
1991,6,21,25.2,32.6,16,-,948.4,41,0,11.1,8.5,29.4,-,0,0,0,0,0,0
1991,6,22,25.1,33,14,-,951.1,36,0,10.8,10.9,29.4,-,0,0,0,0,0,0
1991,6,23,25.4,34.8,15,-,955.1,34,0,10.8,7.8,25.9,-,0,0,0,0,0,0
1991,6,24,26.3,37,15,-,954.6,33,0,10.3,5,14.8,-,0,0,0,0,0,0
1991,6,25,28.3,38,19,-,952,35,0,10.6,9.1,25.9,-,0,0,0,0,0,0
1991,6,26,27.9,37.5,17.8,-,949.9,34,0,10.5,11.1,33.5,50,0,0,0,0,0,0
1991,6,27,25.5,34.4,17,-,949.3,38,0,10,8.5,29.4,-,0,0,0,0,0,0
1991,6,28,22.5,31.2,13,-,951.5,35,0,11.6,13.7,33.5,-,0,0,0,0,0,0
1991,6,29,22.1,31.5,12,-,953.5,33,0,10.8,9.3,25.9,-,0,0,0,0,0,0
1991,6,30,24.2,33,13,-,954.8,39,0,10.1,6.1,22.2,-,0,0,0,0,0,0
1991,7,1,23.4,33.5,17.8,-,952.8,48,0,11.1,13.7,33.5,-,0,1,0,0,1,0
1991,7,2,22.1,29.6,15.8,-,948.8,54,3.05,11.4,10.7,29.4,-,0,1,0,0,0,0
1991,7,3,21,30,15,-,945.6,52,0,11.1,10,33.5,-,0,1,0,0,1,0
1991,7,4,22.4,30.6,15,-,945.3,43,3.05,11.1,15.9,33.5,-,0,0,0,0,0,0
1991,7,5,19.8,25.5,14,-,948.3,40,0,11.4,17.8,33.5,-,0,0,0,0,0,0
1991,7,6,18.8,26,10,-,953.4,42,0,11.3,8.3,25.9,-,0,0,0,0,0,0
1991,7,7,21.7,30.6,12,-,954.5,44,0,11.4,9.6,22.2,27.8,0,0,0,0,0,0
1991,7,8,25.6,34,16,-,954.5,42,0,11.1,5.9,14.8,-,0,0,0,0,0,0
1991,7,9,27.4,36.5,19,-,952.2,37,0,10.9,5.9,18.3,-,0,0,0,0,0,0
1991,7,10,28.3,37.5,18,-,950.7,36,0,10,8,22.2,-,0,0,0,0,0,0
1991,7,11,29,37.8,20,-,951.1,35,0,10.8,6.3,22.2,-,0,0,0,0,0,0
1991,7,12,28.8,40,19,-,952.6,33,0,10.6,6.1,25.9,-,0,0,0,0,0,0
1991,7,13,29.3,39.6,19,-,953,34,0,10,9.8,35.2,-,0,0,0,0,0,0
1991,7,14,28,36.4,17,-,952.3,36,0,10.6,8.9,27.8,-,0,0,0,0,0,0
1991,7,15,27.9,37.2,19,-,950.3,34,0,10,8.3,18.3,-,0,0,0,0,0,0
